,n_cells,highly_variable,highly_variable_rank,means,variances,variances_norm,targeted
ABCG2,43098,True,713.0,0.2707829764203516,0.4124990351522387,1.2803988974003506,0.0
ABHD14B,63330,True,1215.0,0.4121324423121907,0.593385317639143,1.130481947367176,0.0
ABHD17C,34522,True,638.0,0.2068184215716402,0.31936623950599485,1.3281969351310747,0.0
ABL2,74230,True,1002.0,0.49353520435542386,0.7607149508340584,1.1708757313547506,0.0
AC003092.1,36602,True,324.0,0.23756232026308668,0.475413297597346,1.700979465185753,0.0
AC004264.1,9239,True,865.0,0.04921867475129227,0.0642897379268638,1.2140128356275905,0.0
AC004817.3,27130,True,1395.0,0.1461607965985864,0.18041561049959287,1.1030512435978468,0.0
AC005280.2,9183,True,433.0,0.05113586849335174,0.08414999221270067,1.5259334016674846,0.0
AC007319.1,16853,True,1262.0,0.08655808684245529,0.10771410650616478,1.1227040126492451,0.0
AC008105.3,1369,True,534.0,0.007214702766171162,0.010749411870826444,1.4031857412484972,0.0
AC010542.4,772,True,991.0,0.0038802533631155773,0.004764190076664293,1.1740567966125839,0.0
AC015912.3,29407,True,556.0,0.16761226820531402,0.2639353896813705,1.388871687919641,0.0
AC016831.1,27857,True,882.0,0.153765359336229,0.20862656897919385,1.2078738537072933,0.0
AC023043.1,23204,True,1444.0,0.12399381727951125,0.1520091692902533,1.0963429773968387,0.0
AC023157.3,26228,True,375.0,0.15695303792649534,0.28433795529951,1.6095131280519543,0.0
AC034213.1,1208,True,1359.0,0.005990083796960927,0.0070366697116912074,1.107565928576005,0.0
AC069185.1,2645,True,1164.0,0.013149747508336123,0.01585728158060691,1.1372846627724131,0.0
AC073320.1,1081,True,886.0,0.005320441963610012,0.006796566865062898,1.2065884522895067,0.0
AC073611.1,27339,True,1470.0,0.14603695872529548,0.1785208334518579,1.092439797591082,0.0
AC079949.1,9760,True,652.0,0.05487393763157774,0.07845618508883236,1.3198981396749998,0.0
AC079949.2,22029,True,1289.0,0.11835231416292477,0.1478357484214693,1.1186189949142151,0.0
AC092279.1,7164,True,839.0,0.03586711737537094,0.04681789851726406,1.2230188371297932,0.0
AC092807.3,21630,True,1225.0,0.11689836579873135,0.14729257680677263,1.1287682847809704,0.0
AC103591.3,9722,True,1336.0,0.04859031220903833,0.058035437206831735,1.1108833607368993,0.0
AC104823.1,1348,True,430.0,0.007632082265040569,0.012389807706929256,1.5295733907280427,0.0
AC105177.1,4167,True,1471.0,0.020391969801905267,0.02372807510233015,1.0924034740842063,0.0
AC105999.2,28535,True,166.0,0.2403326193544836,0.6806427264566358,2.404426285660118,0.0
AC138230.1,508,True,1408.0,0.0024400647626211434,0.0027184917649559614,1.1015158026735261,0.0
AC245014.3,600,True,459.0,0.002935416255784834,0.004486260049701879,1.4878515279854512,0.0
ACAT2,127283,True,1382.0,1.1760745228801937,2.2120924804464455,1.1045372879713968,0.0
ACE,2403,True,1374.0,0.011837983369032275,0.013862778590280669,1.1054350816564953,0.0
ACP5,8939,True,1325.0,0.04525127621808308,0.05395480772400218,1.112447595965602,0.0
ACSL3,161125,False,,1.7339733152315997,3.0388998846755952,0.8820863578900188,1.0
ACTA2,3754,True,337.0,0.019249909414888983,0.034226230496294266,1.6699103385347736,1.0
ACTBL2,736,True,1472.0,0.0035821251496374303,0.004073836883023813,1.0923477835656168,0.0
ACTG1,217347,True,903.0,44.86994730010503,1312.5806342171077,1.2023769510938846,0.0
ADAM8,13422,True,668.0,0.07547689047686755,0.10869323975264009,1.30794557263871,0.0
ADAMTS1,21110,True,422.0,0.10905071390240659,0.18677226673097366,1.5372047466628291,0.0
ADAMTS5,3076,True,312.0,0.018630720048434368,0.034556988685581845,1.7425067593648567,0.0
ADAMTS6,47269,True,788.0,0.29893545294848806,0.44702275379392326,1.2416280841624512,0.0
ADGRE1,8807,True,746.0,0.04845730115994808,0.06595107286859163,1.266054128072816,0.0
ADGRG1,69763,True,405.0,0.5549312699803235,1.1699194850384815,1.5577598534463732,0.0
ADM,58382,True,460.0,0.41919578767767296,0.7948739223278222,1.4849851789472304,0.0
ADORA2B,43702,True,1119.0,0.2597201264063625,0.3531371860335357,1.1469282644733687,0.0
ADPRHL1,3779,True,909.0,0.01876373109752462,0.023979881188850027,1.2005299442729163,0.0
AEBP1,37582,True,1704.0,0.210859205511244,0.262286010590558,1.0680412493671012,1.0
AGA,63916,False,,0.3728758364789682,0.43195450598413504,0.9254196573481664,1.0
AGPAT5,62126,True,1353.0,0.38051250533190845,0.5299364366293331,1.1081876669342434,0.0
AHCY,127811,True,1496.0,1.2057497465910185,2.256406447476714,1.0898993810620814,1.0
AHNAK,172861,True,931.0,2.5852990684639976,7.515802705052103,1.1938466500619782,1.0
AIM2,17668,True,810.0,0.09869878501286537,0.13537422530024532,1.233850407236795,0.0
AKAP12,125274,True,175.0,1.5763231159443556,6.924929573492444,2.3082505533418964,0.0
AKAP3,1202,True,93.0,0.006434982823228316,0.031601605859388524,3.3366010398199903,0.0
AKR1B1,207889,True,454.0,7.6599320267673265,57.25313494807124,1.498440379288748,0.0
AKR1B10,38155,True,173.0,0.2898448357313544,0.8079841186415283,2.32434337099037,0.0
AKR1C1,32627,True,162.0,0.2522623344815092,0.7193159146314716,2.4107564829363186,0.0
AKR1C2,128599,True,165.0,2.354309328661129,13.09874491423039,2.4044807847977654,0.0
AKR1C3,72024,True,249.0,0.6731092938030611,1.8681678904296954,1.939531679568338,0.0
AL031429.1,554,True,72.0,0.003939879005811207,0.016225659526542605,3.934114845275113,0.0
AL031595.2,543,True,1168.0,0.0026693941576043335,0.0030934219432557017,1.1367629532512271,0.0
AL031777.3,4687,True,1251.0,0.023460397106780353,0.028120499705533562,1.124715000343821,0.0
AL118516.1,18597,True,714.0,0.10210203323441593,0.1454051656140021,1.2802920192711618,0.0
AL121936.1,588,True,819.0,0.0029721089589821443,0.0037613590736636105,1.230885579456321,0.0
AL121944.1,3429,True,1378.0,0.016470437147692717,0.01935482309542163,1.1049992825640993,0.0
AL161431.1,506,True,1309.0,0.0024584111142197983,0.0027734412026216206,1.114633315802596,0.0
AL354719.2,3046,True,996.0,0.015213712063184835,0.018954327085240526,1.1724670891834004,0.0
AL355916.1,12339,True,464.0,0.07072977200071551,0.11506093853934457,1.4823854007524366,0.0
AL365226.2,815,True,95.0,0.004320565801483303,0.014979543848050144,3.298200324688085,0.0
AL365356.5,24047,True,646.0,0.13840946304815457,0.20475639434560094,1.3234854960338935,0.0
AL365500.1,1192,True,1228.0,0.005939631330064625,0.007106070732057432,1.1280898500461345,0.0
AL603756.1,1675,True,142.0,0.011581134446651103,0.03180243473495017,2.5923737019209936,0.0
AL691515.2,4469,True,1234.0,0.022377962362459695,0.02687669324591555,1.126988127776791,0.0
AL713998.1,2380,True,549.0,0.012782820476363019,0.018857266011083403,1.3917523455615672,0.0
ALDH1A3,13551,True,845.0,0.07324780875763094,0.09837465483079817,1.2217179631861592,0.0
ALDH2,513,True,617.0,0.0024813440537181175,0.0033833469075566103,1.346053847387312,0.0
ALOX5AP,2718,True,471.0,0.015167846184188196,0.023817526041246807,1.4778066327296857,0.0
ALPK2,19721,True,1390.0,0.10507872878129773,0.129106832779695,1.1038252551860441,0.0
AMIGO2,112534,True,1266.0,0.9570741238470465,1.7120217621997535,1.1220707188672214,0.0
AMTN,1611,True,411.0,0.008356763153187449,0.013717510652558761,1.5482264828913912,0.0
